image,ground_truth,prediction,CER_score
test020_1.jpg,test020_1,The image you've shared is a close-up of a license plate from the United Kingdom. The,9.1111
test020_2.jpg,test020_2,The image you've shared is a close-up of a license plate from the United States. The,9.0
test021_1.jpg,test021_1,The image you've shared is a close-up of a black and white license plate from South Africa,9.5556
test021_2.jpg,test021_2,The image you've shared is a close-up of a license plate from Vietnam. The license plate,9.4444
test022_1.jpg,test022_1,"The image captures a close-up view of a white license plate, which is affixed to a",8.6667
test022_2.jpg,test022_2,"The image captures a close-up view of a yellow license plate, which is affixed to a",8.7778
test022_3.jpg,test022_3,"The image you've shared is a close-up of a license plate, which reads ""L",7.6667
test023_1.jpg,test023_1,The image you've shared is a close-up of a license plate on a car. The license,8.3333
test024_1.jpg,test024_1,"The image you've shared is a close-up of a license plate from South Africa, specifically a",9.6667
test025_1.jpg,test025_1,The image you've shared is a close-up of a license plate on a car. The license,8.3333
test025_2.jpg,test025_2,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test025_3.jpg,test025_3,The image you've shared appears to be a close-up of a license plate from the state of,9.0
test025_4.jpg,test025_4,"The image captures a close-up view of a black and white license plate. The license plate,",9.4444
test026_1.jpg,test026_1,"The image you've sent is a close-up of a black license plate from North Carolina, United",9.3333
test026_2.jpg,test026_2,"The image you've shared appears to be a close-up of a license plate, which reads """,8.6667
test027_1.jpg,test027_1,"The image you've shared is a close-up of a license plate from New York, United States",9.1111
test027_2.jpg,test027_2,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test027_3.jpg,test027_3,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test028_1.jpg,test028_1,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test028_2.jpg,test028_2,The image you've shared appears to be a close-up of a license plate from a vehicle.,8.7778
test029_1.jpg,test029_1,The image you've shared is a close-up of a black and white license plate from New Jersey,9.3333
test029_2.jpg,test029_2,"The image captures a close-up view of a black and white license plate from New York, United",9.6667
test029_3.jpg,test029_3,"The image you've shared is a close-up of a digital display screen, which prominently features a",10.2222
test029_4.jpg,test029_4,"The image captures a close-up view of a black and white license plate. The license plate,",9.4444
test030_1.jpg,test030_1,The image you've shared is a close-up of a black and white license plate from South Korea,9.4444
test030_2.jpg,test030_2,"The image you've shared is a close-up of a license plate from New Jersey, United States",9.2222
test031_1.jpg,test031_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test031_2.jpg,test031_2,The image you've shared is a close-up of a license plate from a car. The license,8.5556
test031_3.jpg,test031_3,"The image you've shared is a close-up of a license plate from New Jersey, United States",9.2222
test032_1.jpg,test032_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test032_2.jpg,test032_2,"The image captures a close-up view of a license plate, which is affixed to a white",8.6667
test033_1.jpg,test033_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test033_2.jpg,test033_2,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test033_3.jpg,test033_3,"The image you've shared is a close-up of a license plate from Washington state, United States",9.8889
test033_4.jpg,test033_4,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test034_1.jpg,test034_1,"The image captures a close-up view of a license plate, which is affixed to a car",8.4444
test034_2.jpg,test034_2,"The image you've shared is a close-up of a license plate from Vietnam, specifically from H",9.6667
test034_3.jpg,test034_3,The image captures a close-up view of a black license plate affixed to a vehicle. The,9.0
test034_4.jpg,test034_4,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test035_1.jpg,test035_1,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test035_2.jpg,test035_2,The image you've shared is a close-up of a black and white license plate from France.,9.0
test035_3.jpg,test035_3,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test035_4.jpg,test035_4,"The image captures a close-up view of a license plate, which is affixed to a white",8.6667
test036_1.jpg,test036_1,The image you've shared is a close-up of a black license plate with white text and yellow,9.5556
test036_2.jpg,test036_2,"The image you've shared is a close-up of a license plate from the United Arab Emirates,",9.3333
test037_1.jpg,test037_1,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test037_2.jpg,test037_2,The image you've shared is a close-up of a license plate on a black background. The,8.8889
test037_3.jpg,test037_3,The image you've shared is a close-up of a black and white license plate from the United,9.3333
test038_1.jpg,test038_1,The image you've shared is a close-up of a license plate from the United States. The,9.0
test038_2.jpg,test038_2,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test039_1.jpg,test039_1,"The image you've shared is a close-up of a license plate from North Korea, dated",8.5556
test040_1.jpg,test040_1,The image you've shared is a close-up of a license plate from South Korea. The license,9.2222
test041_1.jpg,test041_1,The image you've shared is a close-up of a black license plate with white text and numbers,9.6667
test042_1.jpg,test042_1,"The image you've shared is a close-up of a black and white license plate from California,",9.4444
test043_1.jpg,test043_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test043_2.jpg,test043_2,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test044_1.jpg,test044_1,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test044_2.jpg,test044_2,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test045_1.jpg,test045_1,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test046_1.jpg,test046_1,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test046_2.jpg,test046_2,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test047_1.jpg,test047_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test047_2.jpg,test047_2,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test048_1.jpg,test048_1,The image you've shared appears to be a close-up of a license plate on a vehicle.,8.5556
test048_2.jpg,test048_2,"The image you've shared is a close-up of a license plate from New York, United States",9.1111
test049_1.jpg,test049_1,"The image captures a close-up view of a black and white license plate from Germany, specifically from",10.7778
test049_2.jpg,test049_2,"The image captures a close-up view of a red license plate, which is affixed to a",8.4444
test050_1.jpg,test050_1,"The image you've shared appears to be a close-up of a license plate, which reads """,8.6667
test050_2.jpg,test050_2,"The image captures a close-up view of a black and white license plate from North Carolina, United",10.3333
test051_1.jpg,test051_1,"The image you've shared is a close-up of a license plate from North Carolina, United States",9.7778
test052_1.jpg,test052_1,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test052_2.jpg,test052_2,"The image captures a close-up view of a black and white license plate, which belongs to a",9.4444
test052_3.jpg,test052_3,The image captures a close-up view of a black Honda car's license plate. The license plate,9.5556
test053_1.jpg,test053_1,The image you've shared is a close-up of a license plate from the United States. The,9.0
test054_1.jpg,test054_1,The image you've shared is a close-up of a black and white license plate from Nigeria.,9.1111
test054_2.jpg,test054_2,"The image captures a close-up view of a black and white license plate from North Carolina, United",10.3333
test055_1.jpg,test055_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test056_1.jpg,test056_1,"The image you've shared is a close-up of a license plate from North Carolina, United States",9.7778
test056_2.jpg,test056_2,"The image you've shared is a close-up of a license plate from North Carolina, United States",9.7778
test056_3.jpg,test056_3,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test057_1.jpg,test057_1,"The image you've shared is a close-up of a license plate from North Carolina, United States",9.7778
test057_2.jpg,test057_2,"The image you've shared appears to be a close-up of a license plate, which reads """,8.6667
test057_3.jpg,test057_3,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test058_1.jpg,test058_1,"The image you've shared is a close-up of a black license plate from New York, United",9.0
test058_2.jpg,test058_2,The image captures a close-up view of a black and white license plate affixed to a car,9.1111
test058_3.jpg,test058_3,"The image you've shared is a close-up of a license plate from North Carolina, United States",9.7778
test059_1.jpg,test059_1,"The image you've shared is a close-up of a Pennsylvania license plate, which reads ""W",9.1111
test059_2.jpg,test059_2,The image you've shared appears to be a close-up of a license plate from the United States,9.5556
test060_1.jpg,test060_1,"The image captures a close-up view of a black and white license plate from New Jersey, United",9.8889
test060_2.jpg,test060_2,The image you've shared is a close-up of a black and white license plate from the state,9.2222
test061_1.jpg,test061_1,"The image you've shared is a close-up of a black license plate from Hong Kong, issued",9.1111
test061_2.jpg,test061_2,The image you've shared is a close-up of a license plate from Bangladesh. The license plate,9.7778
test062_1.jpg,test062_1,The image captures a close-up view of a yellow license plate affixed to a vehicle. The,9.1111
test062_2.jpg,test062_2,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test063_1.jpg,test063_1,The image you've shared is a close-up of a license plate from South Korea. The license,9.2222
test064_1.jpg,test064_1,"The image you've shared is a close-up of a license plate from South Africa, specifically from",10.0
test065_1.jpg,test065_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test066_1.jpg,test066_1,The image you've shared is a close-up of a license plate from South Korea. The license,9.2222
test066_2.jpg,test066_2,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test067_1.jpg,test067_1,"The image you've shared is a close-up of a license plate from Brazil, dated 03",8.3333
test067_2.jpg,test067_2,The image you've shared is a close-up of a black license plate from the United States.,9.2222
test068_1.jpg,test068_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test068_2.jpg,test068_2,The image you've shared appears to be a close-up of a license plate from a car.,8.3333
test069_1.jpg,test069_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test070_1.jpg,test070_1,"The image you've shared appears to be a license plate from Germany, specifically from the state of",10.4444
test070_2.jpg,test070_2,The image you've shared is a close-up of a black and white license plate from New York,9.1111
test071_1.jpg,test071_1,"The image you provided appears to be a close-up of a license plate from Georgia, United States",10.0
test072_1.jpg,test072_1,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test073_1.jpg,test073_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test073_2.jpg,test073_2,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test074_1.jpg,test074_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test074_2.jpg,test074_2,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test075_1.jpg,test075_1,"The image captures a close-up view of a black and white license plate from the Philippines, attached",10.6667
test075_2.jpg,test075_2,The image you've shared is a close-up of a black and white license plate from the United,9.3333
test075_3.jpg,test075_3,"The image captures a close-up view of a yellow license plate, which is affixed to a",8.7778
test076_1.jpg,test076_1,The image captures a close-up view of a black and white license plate affixed to a car,9.1111
test076_2.jpg,test076_2,The image you've shared is a close-up of a black and white license plate from a Mercedes,9.3333
test076_3.jpg,test076_3,The image you've shared appears to be a close-up of a license plate from a car.,8.3333
test077_1.jpg,test077_1,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test078_1.jpg,test078_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test079_1.jpg,test079_1,"The image you've shared is a close-up of a black license plate from the United Kingdom,",9.3333
test079_2.jpg,test079_2,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test080_1.jpg,test080_1,"The image captures a close-up view of a license plate, which is black and features white text",9.8889
test080_2.jpg,test080_2,The image you've shared is a close-up of a black and white license plate from the United,9.3333
test080_3.jpg,test080_3,"The image you've shared is a close-up of a black license plate from South Africa, bearing",9.5556
test081_1.jpg,test081_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test081_2.jpg,test081_2,"The image you've shared is a close-up of a yellow license plate from the United States,",9.3333
test082_1.jpg,test082_1,"The image you've shared is a close-up of a license plate from New York, United States",9.1111
test082_2.jpg,test082_2,The image you've shared is a close-up of a license plate from South Korea. The license,9.2222
test083_1.jpg,test083_1,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test083_2.jpg,test083_2,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test084_1.jpg,test084_1,"The image you've shared is a close-up of a black license plate from Germany, specifically from",10.1111
test084_2.jpg,test084_2,"The image you've shared is a close-up of a license plate from Vietnam, specifically from H",9.6667
test085_1.jpg,test085_1,"The image you've shared is a close-up of a black license plate from South Africa, specifically",10.1111
test085_2.jpg,test085_2,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test085_3.jpg,test085_3,"The image you've shared is a close-up of a license plate from South Korea, specifically from",9.8889
test086_1.jpg,test086_1,"The image you've shared is a close-up of a license plate from New Jersey, United States",9.2222
test086_2.jpg,test086_2,"The image you've shared is a close-up of a license plate from South Africa, specifically from",10.0
test087_1.jpg,test087_1,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test087_2.jpg,test087_2,"The image captures a close-up view of a white license plate, which is affixed to a",8.6667
test087_3.jpg,test087_3,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test087_4.jpg,test087_4,"The image you've shared is a close-up of a license plate from New Hampshire, United States",9.5556
test088_1.jpg,test088_1,The image you've shared appears to be a close-up of a black and white license plate from,9.3333
test088_2.jpg,test088_2,"The image you've shared is a close-up of a black and white license plate from Vietnam,",9.1111
test089_1.jpg,test089_1,"The image you've shared is a close-up of a license plate from the Philippines, specifically from",10.3333
test089_2.jpg,test089_2,"The image you've shared is a close-up of a license plate from Germany, specifically from the",9.8889
test089_3.jpg,test089_3,"The image you've shared is a close-up of a black license plate from South Africa, specifically",10.1111
test090_1.jpg,test090_1,"The image you've shared is a close-up of a yellow license plate from South Korea, specifically",10.1111
test090_2.jpg,test090_2,"The image captures a close-up view of a license plate from North Carolina, United States. The",9.8889
test091_1.jpg,test091_1,"The image you've shared is a close-up of a black license plate from South Africa, bearing",9.5556
test091_2.jpg,test091_2,"The image captures a close-up view of a yellow license plate, which is affixed to a",8.7778
test092_1.jpg,test092_1,"The image you've shared is a close-up of a black license plate from South Africa, specifically",10.1111
test092_2.jpg,test092_2,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test092_3.jpg,test092_3,"The image you've shared is a close-up of a license plate, which reads ""B",7.6667
test093_1.jpg,test093_1,The image you've shared appears to be a close-up of a license plate from a vehicle.,8.7778
test094_1.jpg,test094_1,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test095_1.jpg,test095_1,"The image you've shared is a close-up of a license plate from South Korea, specifically for",9.7778
test095_2.jpg,test095_2,"The image you've shared is a close-up of a license plate from South Korea, specifically a",9.5556
test095_3.jpg,test095_3,"The image you've shared is a close-up of a license plate from New York, USA.",8.1111
test096_1.jpg,test096_1,"The image you've shared is a close-up of a black license plate from California, United States",10.0
test096_2.jpg,test096_2,"The image you've shared is a close-up of a license plate from Nigeria, specifically from Lagos",10.1111
test097_1.jpg,test097_1,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test097_2.jpg,test097_2,"The image captures a close-up view of a black and white license plate, which is affixed",9.2222
test098_1.jpg,test098_1,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test099_1.jpg,test099_1,The image you've shared is a close-up of a license plate from 2017. The,7.4444
test099_2.jpg,test099_2,"The image you've shared is a close-up of a black license plate from Indonesia, issued by",9.4444
test100_1.jpg,test100_1,The image you provided appears to be a close-up of a license plate from a vehicle. The,9.1111
test100_2.jpg,test100_2,The image you've shared appears to be a close-up of a license plate from the United Kingdom,9.6667
